ID,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision
1,Fort England Hospital,26.54361,-33.3156,Specialised Hospital,Eastern Cape,Sarah Baartman District Municipality,Makana Local Municipality,,Psychiatry and Occupational Services,Large,313,,,,,,,313,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/fort_england_hospital_grahamstown_eastern_cape_south_africa,ZA-EC
2,Fort Beaufort Hospital,26.633571,-32.7802,District Hospital,Eastern Cape,Amathole District Municipality,Raymond Mhlaba Local Municipality,,"Surgical Services,Medical Services, Paediatrics, Maternity Services, Gynaecology Services, Operating Theatre & CSSD Services, Anti-Retroviral Treatment Services (ARVs), X-Ray Services, Physiotherapy, Laundry Services, Kitchen Services, PMTC & VCT",,70,70,15,15,0,2,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/fort_beaufort_hospital_fort_beaufort_eastern_cape_south_africa,ZA-EC
3,Bhisho Hospital,27.45516,-32.8277,District Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,"Anti-Retroviral Treatment Services (ARVs), Emergency Services, Gynaecology Services,Kitchen Services,Laboratory Services,Laundry Services,Maternity Services,Medical Services,O.P.D. Services,Occupational Services,Operating Theatre & CSSD Services,Paediatrics,Pharmacy Services,Physiotherapy,Post Trauma Counselling Services,Surgical Services,X-Ray Services",,205,205,40,40,0,3,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/bhisho_hospital_bhisho_eastern_cape_south_africa,ZA-EC
4,Grey Hospital,27.39579,-32.8793,District Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,,"Emergency department, Paediatric ward, Maternity ward, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, X-Ray Services, Laundry Services, Kitchen Services and Mortuary.",,67,67,18,18,0,4,1,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/grey_hospital_king_william%27s_town_eastern_cape_south_africa,ZA-EC
5,St Francis Chronic Hospital,26.69921,-30.6887,District Hospital,Eastern Cape,Joe Gqabi District Municipality,Walter Sisulu Local Municipality,,"The hospital services include Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, TB Services, Physiotherapy, Out Patients Department, Laundry Services and Kitchen Services.",,26,26,0,0,0,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/st_francis_provincial_aided_hospital_aliwal_north_eastern_cape_south_africa,ZA-EC
6,Midland Hospital,24.53619,-32.2608,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Dr B Naud Local Municipality,,"Emergency department, Paediatric ward, Maternity ward, Obstetrics, Gynaecology Services, Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS, Post Trauma Counseling Services, Dentistry, Physiotherapy, Occupational Services, Laboratory Services, X-Ray Services, Laundry Services and Kitchen Services.",,80,80,0,0,0,3,1,,,,,ZA-EC
7,Midlands Medical Centre Hospital,30.391519,-29.592892,Private Hospital,KwaZuluNatal,uMgungundlovu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Hospital services – visit their website for more details,,225,,61,,,,5,,,,https://midlandsmedicalcentre.co.za,ZA-KZN
8,Jan Kempdorp Hospital,24.500846,-27.551445,District Hospital,Northern Cape,Frances Baard District Municipality,Phokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,16,,0,0,,0,0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_northern_cape_south_africa/jan_kempdorp_hospital_jan_kempdorp_northern_cape_south_africa,ZA-NC
9,Humansdorp Hospital,24.78144,-34.0302,District Hospital,Eastern Cape,Sarah Baartman District Municipality,Kouga Local Municipality,,"Anti-Retroviral Treatment Services (ARVs),Emergency Services,Gynaecology Services,Laboratory Services,Maternity Services,Medical Services,O.P.D. Services,Occupational Services,Operating Theatre & CSSD Services,Paediatrics,Physiotherapy,PMTC & VCT,Surgical Services,X-Ray Services",,80,80,0,0,0,5,1,,,,https://www.medpages.info/sf/index.php?page=organisation&orgcode=58488,ZA-EC
10,Frere Hospital,27.89156,-32.9959,Tertiary Hospital,Eastern Cape,Buffalo City Metropolitan Municipality,Buffalo City Sub-District,YES,"Trauma and Emergency department, Orthopaedic surgery, Paediatrics, Obstetrics/Gynecology, Surgery, Internal Medicine, ARV clinic for HIV/AIDS in adults and children, Anaesthetics, Family Medicine, Dermatology, Oncology for adult and paediatric patients and burns unit. The other surgical specialties include Neurosurgery, Urology, Paediatric Surgery, Otolaryngology (ENT), Ophthalmology and Maxillofacial surgery. Health services such as Physiotherapy, Occupational Therapy, Speech and Language Therapy, Audiology, Psychology, Social workers, Orthotics, Dentistry and Dietetics.Other services include CSSD Services, Pharmacy, Occupational Services, X-Ray Services with Computed Tomography (CT), Magnetic Resonance Imaging (MRI) and mammography facility, NHLS Laboratory, Blood Bank, Laundry Services, Kitchen Services and Mortuary.",,840,916,187,233,5,14,8,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_eastern_cape_south_africa/frere_hospital_east_london_eastern_cape_south_africa,ZA-EC
